               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10074,            0.051627,            0.067527,           0.0047339,             0.02792,           0.0030009,          0.00076597,            0.093189,            0.032507,             0.06346,            0.070122,           0.0033198,           0.0033198
                   1,            0.076724,            0.047096,            0.041273,             0.29622,             0.41321,             0.30434,             0.10371,            0.061737,             0.02558,            0.020883,            0.040089,           0.0066202,           0.0066202
                   2,            0.064922,            0.042248,            0.022007,             0.55937,             0.56935,             0.57236,             0.23134,            0.056535,            0.023519,            0.013662,            0.010023,           0.0098876,           0.0098876
                   3,            0.057385,            0.040715,            0.017946,             0.68916,              0.5746,             0.64868,             0.29016,            0.050481,            0.024334,            0.013562,           0.0098515,           0.0098515,           0.0098515
                   4,            0.053044,            0.040482,            0.016029,             0.68384,             0.59586,             0.65984,             0.30971,            0.048922,             0.02406,            0.012501,           0.0098515,           0.0098515,           0.0098515
                   5,            0.050374,            0.039119,             0.01521,             0.65609,             0.59554,             0.63669,             0.30905,            0.047836,            0.024382,            0.014098,            0.009802,            0.009802,            0.009802
                   6,            0.048863,              0.0387,            0.014187,             0.70136,             0.62483,             0.69488,              0.3464,            0.047301,            0.023406,            0.012235,           0.0097525,           0.0097525,           0.0097525
                   7,            0.047697,            0.038385,            0.013642,             0.75164,             0.65414,             0.72475,             0.38104,            0.044893,            0.023359,            0.011516,            0.009703,            0.009703,            0.009703
                   8,            0.046056,            0.037559,            0.013357,             0.72929,             0.65449,             0.72041,             0.38951,             0.04473,            0.023286,            0.011047,           0.0096535,           0.0096535,           0.0096535
                   9,            0.045184,            0.037822,            0.012128,              0.7545,             0.64364,             0.72699,             0.39345,            0.043516,            0.023353,             0.01058,            0.009604,            0.009604,            0.009604
                  10,            0.044583,            0.037081,            0.012071,             0.72109,             0.67114,             0.71094,             0.38651,            0.044284,            0.023726,            0.011593,           0.0095545,           0.0095545,           0.0095545
                  11,            0.043739,            0.036874,            0.011554,             0.74074,              0.6763,             0.72682,              0.4079,            0.042882,            0.023255,            0.011333,            0.009505,            0.009505,            0.009505
                  12,            0.043294,            0.036435,            0.011284,             0.78309,               0.663,             0.73924,             0.41451,            0.042273,            0.023272,            0.010648,           0.0094555,           0.0094555,           0.0094555
                  13,            0.042554,            0.036042,            0.010788,             0.75728,             0.64143,             0.72205,             0.40318,            0.042645,            0.024056,            0.011011,            0.009406,            0.009406,            0.009406
                  14,            0.041942,            0.035719,            0.010478,              0.7298,              0.6823,                0.74,             0.42448,            0.041562,            0.022987,            0.010223,           0.0093565,           0.0093565,           0.0093565
                  15,            0.041005,             0.03552,             0.01013,             0.74383,             0.65356,             0.71131,             0.40241,             0.04196,            0.024228,            0.011142,            0.009307,            0.009307,            0.009307
                  16,             0.04097,            0.035291,           0.0098809,             0.75349,             0.68249,             0.74337,             0.42656,             0.04215,            0.023724,            0.010049,           0.0092575,           0.0092575,           0.0092575
                  17,            0.040118,            0.034573,           0.0098309,             0.76487,             0.67717,             0.74499,             0.44174,            0.040726,            0.023548,            0.010311,            0.009208,            0.009208,            0.009208
                  18,            0.040144,            0.034421,           0.0096469,             0.75241,             0.68603,             0.75234,             0.44015,             0.04116,            0.023697,              0.0104,           0.0091585,           0.0091585,           0.0091585
                  19,            0.039361,            0.033736,           0.0090627,              0.7623,             0.68272,             0.73725,             0.41853,            0.042792,            0.023485,           0.0098828,            0.009109,            0.009109,            0.009109
                  20,            0.039025,            0.033641,           0.0089269,              0.7661,             0.70011,               0.756,             0.43447,            0.041332,             0.02312,            0.010055,           0.0090595,           0.0090595,           0.0090595
                  21,            0.038536,            0.033623,           0.0085799,             0.79115,             0.67162,             0.75053,             0.43455,            0.042118,            0.023354,           0.0097978,             0.00901,             0.00901,             0.00901
                  22,            0.037527,            0.032565,           0.0085114,             0.77732,             0.68809,              0.7503,             0.43495,            0.041723,               0.024,            0.010259,           0.0089605,           0.0089605,           0.0089605
                  23,            0.037767,             0.03315,           0.0084539,             0.79582,             0.68192,             0.75921,             0.45214,            0.040803,            0.023374,            0.010145,            0.008911,            0.008911,            0.008911
                  24,             0.03732,            0.032717,           0.0079605,              0.7706,             0.68342,             0.75407,             0.44316,            0.041491,            0.023894,            0.010456,           0.0088615,           0.0088615,           0.0088615
                  25,            0.036617,            0.032074,           0.0077561,             0.79594,             0.69228,             0.75361,             0.44967,            0.040461,            0.023714,            0.010391,            0.008812,            0.008812,            0.008812
                  26,            0.036586,            0.031506,           0.0077229,             0.78463,             0.70474,              0.7578,             0.44404,            0.040691,            0.023791,            0.010256,           0.0087625,           0.0087625,           0.0087625
                  27,            0.036348,            0.032195,           0.0078948,             0.78883,             0.68607,             0.75698,             0.45012,            0.040509,            0.024099,            0.010019,            0.008713,            0.008713,            0.008713
                  28,            0.035592,            0.031553,           0.0075257,              0.7765,             0.70043,             0.76092,             0.45798,            0.040069,            0.023425,            0.010231,           0.0086635,           0.0086635,           0.0086635
                  29,             0.03536,            0.031546,           0.0074203,             0.79946,             0.71046,             0.77245,             0.46907,            0.040158,            0.023323,           0.0097713,            0.008614,            0.008614,            0.008614
                  30,             0.03531,            0.031163,           0.0073115,             0.80337,             0.68779,             0.76141,             0.46369,            0.040434,             0.02431,            0.010105,           0.0085645,           0.0085645,           0.0085645
                  31,             0.03491,            0.031213,           0.0072307,              0.8063,             0.67243,             0.75709,             0.45724,            0.040178,            0.024774,            0.010408,            0.008515,            0.008515,            0.008515
                  32,            0.034625,            0.030888,           0.0073199,             0.78959,             0.69782,              0.7598,              0.4633,            0.040139,            0.023787,            0.009975,           0.0084655,           0.0084655,           0.0084655
                  33,            0.034377,            0.030076,              0.0069,             0.79637,             0.69923,             0.76427,             0.46568,            0.039934,            0.024339,           0.0099772,            0.008416,            0.008416,            0.008416
                  34,            0.034436,            0.030439,           0.0070819,             0.79444,             0.68289,             0.76092,             0.45327,            0.040374,            0.025197,           0.0097189,           0.0083665,           0.0083665,           0.0083665
                  35,             0.03426,            0.030073,           0.0069092,             0.82969,             0.68441,             0.76326,             0.46047,            0.040405,            0.023889,           0.0097254,            0.008317,            0.008317,            0.008317
